Phatr3_ID	WTA_Pr	WTB_Pr	WTC_Pr	WTA_Pd	WTB_Pd	WTC_Pd
Phatr3_J47178	3898	4988	4242	2737	2728	2651
Phatr3_J47113	1283	1450	1148	1805	1524	1812
Phatr3_J38628	745	759	674	718	709	663
Phatr3_J54586	2146	2490	2057	2865	2550	2624
Phatr3_J20934	9040	11544	9733	2693	2582	2720
Phatr3_J50130	495	488	416	461	492	418
Phatr3_J22117	630	637	594	974	793	957
Phatr3_J47150	1515	1848	1437	2695	2569	2418
Phatr3_J44497	539	623	560	467	413	528
Phatr3_J36928	255	294	242	219	189	197
Phatr3_EG00508	0	0	0	0	0	0
Phatr3_J45766	767	861	759	571	514	577
Phatr3_J51066	10085	13171	11578	1253	1185	1337
Phatr3_J54028	1816	2197	1855	1613	1319	1548
Phatr3_J33075	256	284	236	285	248	276
Phatr3_J36022	12	14	5	77	51	63
Phatr3_J33450	1679	2015	1734	1189	1101	1212
Phatr3_J47852	1289	1495	1299	1016	826	1002
Phatr3_J33478	146	168	148	185	156	209
Phatr3_J46562	1262	1457	1213	1266	1247	1230
Phatr3_J43649	1039	1274	1139	1029	890	985
Phatr3_EG00788	13	20	14	13	14	8
Phatr3_EG00203	890	1007	789	681	747	683
Phatr3_EG00138	656	718	691	612	593	593
Phatr3_EG00201	2691	3192	2696	2057	1947	1937
Phatr3_EG00096	1197	1494	1320	1097	947	1007
Phatr3_J48125	325	358	326	397	333	325
Phatr3_J34441	1047	1346	1111	1343	1367	1443
Phatr3_J43110	386	424	373	431	379	442
Phatr3_J48138	1708	1876	1745	2405	1948	2352
Phatr3_EG01689	13	16	5	7	10	12
Phatr3_J47049	432	520	438	473	421	420
Phatr3_PW092	2512	2962	2654	10667	9705	10746
Phatr3_J46762	1102	1257	1102	1491	1364	1458
Phatr3_J29223	2290	2650	2072	1851	1659	1849
Phatr3_EG01498	341	353	335	322	294	309
Phatr3_J33339	748	752	772	746	651	746
Phatr3_EG01742	1	0	0	2	3	0
Phatr3_J22803	1593	2015	1675	2066	1937	2056
Phatr3_J41530	416	411	404	345	357	252
Phatr3_J41214	2595	3035	2514	2090	1919	1965
Phatr3_J46833	582	645	586	463	430	386
Phatr3_EG01929	796	847	740	917	857	825
Phatr3_J47807	339	431	390	273	239	215
Phatr3_J34287	1669	1957	1669	1550	1349	1432
Phatr3_J15929	856	963	829	2098	2057	1873
Phatr3_EG00227	376	484	428	295	299	319
Phatr3_J52368	5515	6390	5334	8515	8004	8182
Phatr3_EG02394	6472	7701	6579	6712	6058	6280
Phatr3_EG00658	0	0	0	0	0	0
Phatr3_J49836	1196	1487	1155	1374	1219	1251
Phatr3_J18197	1267	1485	1275	1294	1167	1345
Phatr3_J43528	258	338	346	360	381	312
Phatr3_J44756	1839	2253	1960	2235	1895	2145
Phatr3_J38549	249	240	278	283	233	308
Phatr3_J43086	817	899	766	631	597	713
Phatr3_J16376	511	649	513	78	64	61
Phatr3_J47165	669	634	590	956	750	851
Phatr3_J23706	173	210	222	759	698	678
Phatr3_J42624	2852	3109	2788	2724	2387	2676
Phatr3_J44977	471	585	462	667	653	642
Phatr3_J39554	8	19	20	30	24	16
Phatr3_J49667	178	210	206	169	116	177
Phatr3_J45147	2295	2444	2005	2857	3079	2397
Phatr3_EG00676	0	11	2	6	3	5
Phatr3_J44000	1051	1083	974	924	783	958
Phatr3_J47686	1530	1902	1492	3080	2771	2820
Phatr3_J50515	511	557	487	857	795	771
Phatr3_J26925	1830	2450	2127	4376	3895	3937
Phatr3_J44556	1405	1724	1527	1145	1054	1101
PhtrCt030	0	0	1	0	0	0
Phatr3_J16537	2355	3031	2477	1594	1455	1523
Phatr3_J40594	56	65	63	88	57	77
Phatr3_EG01312	17	21	15	26	35	42
Phatr3_J13700	400	518	424	478	305	441
Phatr3_J45408	6896	8025	6554	7490	6509	7263
Phatr3_J26422	4097	5059	4259	2013	1811	1945
Phatr3_J46559	621	621	516	633	629	650
Phatr3_EG02367	571	693	634	318	317	343
Phatr3_J14922	2243	2558	2143	2497	2066	2261
Phatr3_J42002	5655	7016	6060	6662	5894	6381
Phatr3_EG00116	1700	1984	1689	1352	1173	1258
Phatr3_EG01759	5	4	2	13	9	13
Phatr3_J47869	0	0	0	93666	73932	97996
Phatr3_J44603	8178	9155	7940	6731	6455	6796
Phatr3_EG02586	1	0	0	4	2	3
Phatr3_J38165	993	1188	1021	819	679	772
Phatr3_J34302	1735	1897	1743	1042	1112	1152
Phatr3_J44874	265	311	245	211	182	228
Phatr3_EG00250	127	176	172	106	101	109
Phatr3_J47393	1638	1853	1569	835	823	801
Phatr3_J27135	2247	2561	2171	3197	2716	3086
Phatr3_EG02371	3191	3889	3324	7029	5983	6799
Phatr3_J42496	1403	1679	1336	1591	1462	1443
Phatr3_J33775	156	215	163	127	139	144
Phatr3_J46601	544	613	513	1052	967	990
Phatr3_J41030	782	952	827	378	338	353
Phatr3_EG00380	2	3	3	17	24	15
